股票代码,股票简称
834407,驰诚股份
300960,通业科技
688515,裕太微-U
688693,锴威特
300611,美力科技
300460,惠伦晶体
301099,雅创电子
301418,协昌科技
301021,英诺激光
301036,双乐股份
301117,佳缘科技
300565,科信技术
300637,扬帆新材
301016,雷尔伟
872541,铁大科技
871553,凯腾精工
300554,三超新材
688262,国芯科技
688032,禾迈股份
688348,昱能科技
688052,纳芯微
300011,鼎汉技术
871981,晶赛科技
688020,方邦股份
688244,永信至诚
000008,神州高铁
002168,惠程科技
600243,青海华鼎
002272,川润股份
002562,兄弟科技
600817,宇通重工
600520,文一科技
603232,格尔软件
002819,东方中科
002549,凯美特气
603121,华培动力
603825,华扬联众
605111,新洁能
001212,中旗新材
603991,至正股份
605167,利柏特
603680,XD今创集
600841,动力新科
600460,士兰微
600171,上海贝岭
002800,天顺股份
603607,京华激光
002077,大港股份
605218,伟时电子
600636,国新文化
002576,通达动力
002806,华锋股份
300671,富满微
600125,XD铁龙物
600207,安彩高科
002321,华英农业
688141,杰华特
300689,澄天伟业
000925,众合科技
833509,同惠电子
300710,万隆光电
603290,斯达半导
603375,盛景微
300293,蓝英装备
300407,凯发电气
688347,华虹公司
301413,安培龙
688711,宏微科技
300622,博士眼镜
600650,锦江在线
300408,三环集团
600686,金龙汽车
300656,民德电子
688152,麒麟信安
300705,九典制药
301251,威尔高
301048,金鹰重工
301306,西测测试
688045,必易微
688216,气派科技
688569,铁科轨道
688536,思瑞浦
688416,恒烁股份
003026,中晶科技
600538,国发股份
688602,康鹏科技
688130,晶华微
002670,国盛金控
300455,航天智装
000953,河化股份
300967,晓鸣股份
603383,顶点软件
300661,圣邦股份
300401,花园生物
688793,倍轻松
002496,辉丰股份
300192,科德教育
300208,*ST中程
000628,高新发展
688135,利扬芯片
300223,北京君正
300077,国民技术
688234,天岳先进
837821,则成电子
688691,灿芯股份
001270,铖昌科技
300885,海昌新材
603135,中重科技
002859,洁美科技
688337,普源精电
688048,长光华芯
301176,逸豪新材
301049,超越科技
301367,怡和嘉业
688485,九州一轨
301348,蓝箭电子
688362,甬矽电子
688270,臻镭科技
300758,七彩化学
301129,瑞纳智能
603488,展鹏科技
300462,华铭智能
002626,金达威
300931,通用电梯
000078,海王生物
688699,明微电子
688063,派能科技
688053,思科瑞
839725,惠丰钻石
688061,灿瑞科技
688512,慧智微-U
688496,清越科技
688230,芯导科技
300598,诚迈科技
688256,寒武纪-U
301156,美农生物
603997,继峰股份
301110,青木科技
000952,广济药业
688658,悦康药业
603019,中科曙光
301507,民生健康
300865,大宏立
688385,复旦微电
688717,艾罗能源
000506,*ST中润
301510,固高科技
000908,*ST景峰
301158,德石股份
