code,cname,pe,pb,mv
300990,同飞股份,108.67,2.79,4789886400.0
301421,波长光电,72.09,3.53,4151961840.0
300260,新莱应材,26.13,3.87,7340521536.0
300293,蓝英装备,-2214.53,6.07,5452237888.0
300225,金力泰,105.37,3.27,2738474438.0
002031,巨轮智能,501.99,2.34,5696434785.0
002066,瑞泰科技,26.32,2.84,1972740000.0
000004,国华网安,-42.0,9.04,1596506201.0
605086,龙高股份,31.85,2.45,2888704000.0
600619,海立股份,757.35,1.05,6364932328.0
002338,奥普光电,94.04,5.0,6410400000.0
002549,凯美特气,-33.5,1.89,3747925186.0
002291,遥望科技,-9.83,1.01,4299341563.0
600550,保变电气,378.24,32.6,17236706573.0
600895,张江高科,55.75,2.39,29688378674.0
600198,大唐电信,-67.38,33.53,8330026627.0
603607,京华激光,30.34,2.51,2501020368.0
002693,双成药业,-93.36,6.96,3164082793.0
600719,大连热电,-28.22,4.59,2334539692.0
000903,云内动力,-19.74,1.38,3939442729.0
688502,茂莱光学,136.82,3.71,4260960000.0
301021,英诺激光,-205.9,2.78,2684783461.0
430489,佳先股份,25.76,1.87,944297664.0
300331,苏大维格,61.08,2.53,4183159427.0
300797,钢研纳克,42.78,3.73,4122156000.0
000158,常山北明,-29.5,2.56,14371564322.0
300287,飞利信,-18.54,3.09,3947002972.0
000521,长虹美菱,11.43,1.6,9485597415.0
301297,富乐德,73.92,5.09,7393821500.0
002893,京能热力,9.92,1.84,2277849600.0
300655,晶瑞电材,-704.73,2.72,7014139819.0
688293,奥浦迈,65.66,1.49,3170015345.0
300830,金现代,-51.5,2.25,2623764757.0
002625,光启技术,59.71,4.73,43156394876.0
002533,金杯电工,11.37,1.63,6267856669.0
002889,东方嘉盛,16.77,1.87,4340478303.0
300489,光智科技,-36.04,4.46,2552454361.0
001872,招商港口,9.57,0.81,48736592282.0
600336,澳柯玛,45.12,1.78,4516763593.0
873693,阿为特,70.74,5.01,1720809000.0
000680,山推股份,12.78,1.85,10697334448.0
600107,美尔雅,-24.76,2.55,1360800000.0
605011,杭州热电,32.84,3.43,7665916000.0
300691,联合光电,74.66,2.61,4218684651.0
000627,天茂集团,-24.36,0.87,17786264994.0
000520,凤凰航运,-77.37,4.36,2307550277.0
301520,万邦医药,21.7,1.61,2388666679.0
600811,东方集团,27.12,0.3,4975893112.0
002717,岭南股份,-5.1,1.37,2645700192.0
300561,汇金科技,-479.67,5.04,3162960879.0
301345,涛涛车业,16.49,2.05,6003051500.0
600106,重庆路桥,27.56,1.12,5382551501.0
300201,海伦哲,31.21,2.38,3195629060.0
002309,*ST中利,-3.72,-2.45,1978956644.0
000062,深圳华强,91.76,4.54,32402270796.0
603007,*ST花王,-22.82,7.5,2864203246.0
002606,大连电瓷,24.28,2.39,3837499943.0
603559,*ST通脉,-9.29,18.95,1103511694.0
300786,国林科技,-38.24,1.59,1888002919.0
301611,珂玛科技,47.22,9.44,13141040000.0
001236,弘业期货,370.42,5.11,9483188891.0
688336,三生国健,45.43,2.36,11768272930.0
300576,容大感光,65.42,7.25,9430150411.0
600066,宇通客车,15.07,4.14,50455674892.0
300407,凯发电气,29.71,1.49,2609244043.0
600370,三房巷,-19.49,0.97,5532822554.0
688084,晶品特装,-64.91,1.58,2566355519.0
603356,华菱精工,-19.91,2.52,1564078200.0
831526,凯华材料,54.33,6.84,1456347000.0
002226,江南化工,12.24,1.13,10224842220.0
300205,ST天喻,-26.11,1.37,1978257600.0
605117,德业股份,24.49,7.81,60529461180.0
002668,TCL智家,9.21,5.26,10299058566.0
600178,东安动力,-318.15,1.7,4320330542.0
600660,福耀玻璃,19.28,4.27,134923740604.0
600822,上海物贸,72.21,3.32,3918186021.0
601126,四方股份,17.31,3.48,14662236320.0
603421,鼎信通讯,-35.19,1.03,3424000183.0
000400,许继电气,25.38,2.88,31870388386.0
300346,南大光电,41.05,6.17,14670907286.0
688169,石头科技,20.28,3.81,45461418617.0
