item,value,symbol
股票代码,603926,603926
股票简称,铁流股份,603926
总股本,235102531.0,603926
流通股,208262080.0,603926
总市值,1845554868.35,603926
流通市值,1634857328.0,603926
行业,汽车零部件,603926
上市时间,20170510,603926
股票代码,300094,300094
股票简称,国联水产,300094
总股本,1128167253.0,300094
流通股,1105078999.0,300094
总市值,2842981477.56,300094
流通市值,2784799077.48,300094
行业,食品饮料,300094
上市时间,20100708,300094
股票代码,688036,688036
股票简称,传音控股,688036
总股本,1129191280.0,688036
流通股,1129191280.0,688036
总市值,93248615902.4,688036
流通市值,93248615902.4,688036
行业,消费电子,688036
上市时间,20190930,688036
股票代码,600929,600929
股票简称,雪天盐业,600929
总股本,1659173900.0,600929
流通股,1241292898.0,600929
总市值,8926355582.0,600929
流通市值,6678155791.24,600929
行业,化学原料,600929
上市时间,20180326,600929
股票代码,000589,000589
股票简称,贵州轮胎,000589
总股本,1555255604.0,000589
流通股,1530107504.0,000589
总市值,7667410127.719999,000589
流通市值,7543429994.719999,000589
行业,橡胶制品,000589
上市时间,19960308,000589
股票代码,002485,002485
股票简称,ST雪发,002485
总股本,544000000.0,002485
流通股,544000000.0,002485
总市值,1670080000.0,002485
流通市值,1670080000.0,002485
行业,纺织服装,002485
上市时间,20101015,002485
股票代码,600132,600132
股票简称,重庆啤酒,600132
总股本,483971198.0,600132
流通股,483971198.0,600132
总市值,30078809955.7,600132
流通市值,30078809955.7,600132
行业,酿酒行业,600132
上市时间,19971030,600132
股票代码,688128,688128
股票简称,中国电研,688128
总股本,404500000.0,688128
流通股,404500000.0,688128
总市值,6803690000.0,688128
流通市值,6803690000.0,688128
行业,专用设备,688128
上市时间,20191105,688128
股票代码,688314,688314
股票简称,康拓医疗,688314
总股本,81239172.0,688314
流通股,81239172.0,688314
总市值,1473678580.0800002,688314
流通市值,1473678580.0800002,688314
行业,医疗器械,688314
上市时间,20210518,688314
股票代码,300779,300779
股票简称,惠城环保,300779
总股本,194957602.0,300779
流通股,148379340.0,300779
总市值,8256454444.7,300779
流通市值,6283865049.0,300779
行业,环保行业,300779
上市时间,20190522,300779
股票代码,301226,301226
股票简称,祥明智能,301226
总股本,108800000.0,301226
流通股,49079864.0,301226
总市值,2010624000.0,301226
流通市值,906995886.72,301226
行业,电机,301226
上市时间,20220325,301226
股票代码,000975,000975
股票简称,银泰黄金,000975
总股本,2776722265.0,000975
流通股,2486534116.0,000975
总市值,50369741887.1,000975
流通市值,45105728864.24,000975
行业,贵金属,000975
上市时间,20000608,000975
股票代码,300920,300920
股票简称,润阳科技,300920
总股本,100000000.0,300920
流通股,64572170.0,300920
总市值,1355000000.0,300920
流通市值,874952903.5,300920
行业,塑料制品,300920
上市时间,20201225,300920
股票代码,001211,001211
股票简称,双枪科技,001211
总股本,72000000.0,001211
